Point: ,121-5005,,
Location: ," 33.755388, -84.393689",,
Road-Type: ,Minor Arterial,,
Day: ,Mon,Tue,Wed
Date:,2024-01-29,2024-01-30,2024-01-31
12:00:00 (V),,54,70
1:00:00 (V),,43,49
2:00:00 (V),,25,47
3:00:00 (V),,34,36
4:00:00 (V),,59,56
5:00:00 (V),,120,132
6:00:00 (V),,586,524
7:00:00 (V),,1402,1440
8:00:00 (V),,1605,1568
9:00:00 (V),,1322,1188
10:00:00 (V),,789,714
11:00:00 (V),,496,554
12:00:00 (V),,429,413
13:00:00 (V),,389,443
14:00:00 (V),648,738,
15:00:00 (V),684,728,
16:00:00 (V),733,937,
17:00:00 (V),726,1129,
18:00:00 (V),653,1181,
19:00:00(V),436,721,
20:00:00 (V),183,235,
21:00:00 (V),158,229,
22:00:00 (V),119,114,
23:00:00 (V),87,105,
,,,
12:00:00 (C),,0:50:3:0:1:0:0:0:0:0:0:0:0:0:0,0:66:3:0:1:0:0:0:0:0:0:0:0:0:0
1:00:00 (C),,0:42:1:0:0:0:0:0:0:0:0:0:0:0:0,0:48:1:0:0:0:0:0:0:0:0:0:0:0:0
2:00:00 (C),,0:22:2:0:1:0:0:0:0:0:0:0:0:0:0,0:47:0:0:0:0:0:0:0:0:0:0:0:0:0
3:00:00 (C),,0:30:4:0:0:0:0:0:0:0:0:0:0:0:0,0:30:5:0:1:0:0:0:0:0:0:0:0:0:0
4:00:00 (C),,0:51:5:1:0:0:0:0:2:0:0:0:0:0:0,0:47:8:0:0:0:0:1:0:0:0:0:0:0:0
5:00:00 (C),,0:96:21:1:0:0:0:1:1:0:0:0:0:0:0,0:104:20:1:4:0:0:1:2:0:0:0:0:0:0
6:00:00 (C),,0:500:73:2:8:2:0:0:1:0:0:0:0:0:0,0:443:75:2:4:0:0:0:0:0:0:0:0:0:0
7:00:00 (C),,1:1257:118:2:14:0:0:3:6:1:0:0:0:0:0,0:1241:157:3:31:0:0:3:3:2:0:0:0:0:0
8:00:00 (C),,1:1372:148:4:38:4:0:23:14:0:1:0:0:0:0,0:1325:171:4:33:2:0:10:22:1:0:0:0:0:0
9:00:00 (C),,0:1167:118:11:10:6:1:1:8:0:0:0:0:0:0,1:1038:102:7:29:1:0:4:6:0:0:0:0:0:0
10:00:00 (C),,0:675:92:5:11:2:0:3:1:0:0:0:0:0:0,0:600:85:6:20:0:0:1:1:1:0:0:0:0:0
11:00:00 (C),,0:423:54:3:14:1:0:0:1:0:0:0:0:0:0,1:477:58:2:11:3:0:1:1:0:0:0:0:0:0
12:00:00 (C),,1:368:54:2:3:1:0:0:0:0:0:0:0:0:0,3:354:49:2:1:2:0:0:2:0:0:0:0:0:0
13:00:00 (C),,1:338:40:1:7:1:0:0:1:0:0:0:0:0:0,0:387:43:4:5:0:0:4:0:0:0:0:0:0:0
14:00:00 (C),0:552:71:6:7:3:0:4:5:0:0:0:0:0:0,3:612:100:5:10:1:0:2:5:0:0:0:0:0:0,
15:00:00 (C),1:596:78:5:2:0:0:2:0:0:0:0:0:0:0,0:653:66:5:4:0:0:0:0:0:0:0:0:0:0,
16:00:00 (C),0:638:83:4:7:0:0:1:0:0:0:0:0:0:0,3:819:95:5:11:2:0:0:2:0:0:0:0:0:0,
17:00:00 (C),0:634:77:8:6:0:0:0:1:0:0:0:0:0:0,0:998:118:3:10:0:0:0:0:0:0:0:0:0:0,
18:00:00 (C),1:590:54:1:5:1:0:0:1:0:0:0:0:0:0,0:1064:107:4:5:0:0:1:0:0:0:0:0:0:0,
19:00:00(C),2:390:38:0:3:0:0:0:3:0:0:0:0:0:0,1:653:67:0:0:0:0:0:0:0:0:0:0:0:0,
20:00:00 (C),0:167:14:1:0:1:0:0:0:0:0:0:0:0:0,0:216:18:0:1:0:0:0:0:0:0:0:0:0:0,
21:00:00 (C),1:148:8:1:0:0:0:0:0:0:0:0:0:0:0,0:202:22:0:2:0:0:0:3:0:0:0:0:0:0,
22:00:00 (C),1:108:9:0:0:0:0:1:0:0:0:0:0:0:0,2:102:7:0:2:0:0:0:1:0:0:0:0:0:0,
23:00:00 (C),0:82:4:0:1:0:0:0:0:0:0:0:0:0:0,0:99:5:0:1:0:0:0:0:0:0:0:0:0:0,
