Point: ,121-5006,,,,,
Location: ,"33.7471710021447, -84.3981530418499",,,,,
Road-Type: ,Major Collector,,,,,
Day: ,Tue,Wed,Thu,Mon,Tue,Wed
Date:,2023-09-12,2023-09-13,2023-09-14,2025-03-24,2025-03-25,2025-03-26
0:00:00 (V),,4,0,,3,8
1:00:00 (V),,0,1,,0,2
2:00:00 (V),,1,1,,0,1
3:00:00 (V),,3,3,,2,2
4:00:00 (V),,2,2,,1,2
5:00:00 (V),,3,1,,3,1
6:00:00 (V),,2,3,,2,6
7:00:00 (V),,5,4,,10,15
8:00:00 (V),,5,6,,16,19
9:00:00 (V),,10,5,,17,19
10:00:00 (V),,11,6,,18,33
11:00:00 (V),,10,13,,11,28
12:00:00 (V),,5,4,,14,9
13:00:00 (V),,11,7,,14,8
14:00:00 (V),,9,38,,39,15
15:00:00 (V),,14,20,,32,28
16:00:00 (V),,18,17,,18,40
17:00:00 (V),,6,12,17,17,
18:00:00 (V),,5,11,9,19,
19:00:00(V),,6,8,8,10,
20:00:00 (V),,6,4,5,11,
21:00:00 (V),,4,4,9,11,
22:00:00 (V),,3,1,5,6,
23:00:00 (V),6,4,,7,4,
,,,,,,
12:00:00 (C),,0:3:1:0:0:0:0:0:0:0:0:0:0:0:0,,,,
1:00:00 (C),,,0:1:0:0:0:0:0:0:0:0:0:0:0:0:0,,,
2:00:00 (C),,0:0:0:0:0:1:0:0:0:0:0:0:0:0:0,0:1:0:0:0:0:0:0:0:0:0:0:0:0:0,,,
3:00:00 (C),,0:3:0:0:0:0:0:0:0:0:0:0:0:0:0,0:3:0:0:0:0:0:0:0:0:0:0:0:0:0,,,
4:00:00 (C),,0:2:0:0:0:0:0:0:0:0:0:0:0:0:0,0:2:0:0:0:0:0:0:0:0:0:0:0:0:0,,,
5:00:00 (C),,0:2:0:0:0:1:0:0:0:0:0:0:0:0:0,0:1:0:0:0:0:0:0:0:0:0:0:0:0:0,,,
6:00:00 (C),,0:1:1:0:0:0:0:0:0:0:0:0:0:0:0,0:3:0:0:0:0:0:0:0:0:0:0:0:0:0,,,
7:00:00 (C),,0:5:0:0:0:0:0:0:0:0:0:0:0:0:0,0:3:1:0:0:0:0:0:0:0:0:0:0:0:0,,,
8:00:00 (C),,0:5:0:0:0:0:0:0:0:0:0:0:0:0:0,0:6:0:0:0:0:0:0:0:0:0:0:0:0:0,,,
9:00:00 (C),,0:7:3:0:0:0:0:0:0:0:0:0:0:0:0,0:4:1:0:0:0:0:0:0:0:0:0:0:0:0,,,
10:00:00 (C),,0:9:2:0:0:0:0:0:0:0:0:0:0:0:0,0:5:0:0:0:1:0:0:0:0:0:0:0:0:0,,,
11:00:00 (C),,0:9:1:0:0:0:0:0:0:0:0:0:0:0:0,0:11:2:0:0:0:0:0:0:0:0:0:0:0:0,,,
12:00:00 (C),,0:4:0:1:0:0:0:0:0:0:0:0:0:0:0,0:3:0:0:1:0:0:0:0:0:0:0:0:0:0,,,
13:00:00 (C),,0:9:0:0:2:0:0:0:0:0:0:0:0:0:0,0:5:2:0:0:0:0:0:0:0:0:0:0:0:0,,,
14:00:00 (C),,0:8:1:0:0:0:0:0:0:0:0:0:0:0:0,0:34:4:0:0:0:0:0:0:0:0:0:0:0:0,,,
15:00:00 (C),,0:12:1:0:1:0:0:0:0:0:0:0:0:0:0,0:19:1:0:0:0:0:0:0:0:0:0:0:0:0,,,
16:00:00 (C),,0:16:1:0:1:0:0:0:0:0:0:0:0:0:0,0:15:2:0:0:0:0:0:0:0:0:0:0:0:0,,,
17:00:00 (C),,0:6:0:0:0:0:0:0:0:0:0:0:0:0:0,0:11:1:0:0:0:0:0:0:0:0:0:0:0:0,,,
18:00:00 (C),,0:5:0:0:0:0:0:0:0:0:0:0:0:0:0,0:10:1:0:0:0:0:0:0:0:0:0:0:0:0,,,
19:00:00(C),,0:6:0:0:0:0:0:0:0:0:0:0:0:0:0,0:7:1:0:0:0:0:0:0:0:0:0:0:0:0,,,
20:00:00 (C),,0:4:2:0:0:0:0:0:0:0:0:0:0:0:0,0:4:0:0:0:0:0:0:0:0:0:0:0:0:0,,,
21:00:00 (C),,0:4:0:0:0:0:0:0:0:0:0:0:0:0:0,0:4:0:0:0:0:0:0:0:0:0:0:0:0:0,,,
22:00:00 (C),,0:3:0:0:0:0:0:0:0:0:0:0:0:0:0,0:1:0:0:0:0:0:0:0:0:0:0:0:0:0,,,
23:00:00 (C),0:6:0:0:0:0:0:0:0:0:0:0:0:0:0,0:3:1:0:0:0:0:0:0:0:0:0:0:0:0,,,,
